epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.2123,0.47354,0.8169,1,0.40263,0.000547949,0.000547949,0.000547949
2,103.674,0.32346,0.91549,1,0.22714,0.0010672,0.0010672,0.0010672
3,154.637,0.22609,0.87324,1,0.30529,0.00154977,0.00154977,0.00154977
4,205.366,0.19561,0.87324,1,0.39536,0.00150197,0.00150197,0.00150197
5,255.981,0.18093,0.88732,1,0.25206,0.00144696,0.00144696,0.00144696
6,306.535,0.20525,0.85915,1,0.25051,0.00139195,0.00139195,0.00139195
7,358.01,0.15972,0.92958,1,0.18661,0.00133693,0.00133693,0.00133693
8,409.309,0.13294,0.90141,1,0.1631,0.00128192,0.00128192,0.00128192
9,460.484,0.14239,0.85915,1,0.37687,0.00122691,0.00122691,0.00122691
10,511.741,0.12651,0.88732,1,0.31385,0.0011719,0.0011719,0.0011719
11,563.025,0.15141,0.87324,1,0.44658,0.00111689,0.00111689,0.00111689
12,614.335,0.14433,0.90141,1,0.17315,0.00106188,0.00106188,0.00106188
13,665.996,0.08698,0.95775,1,0.15043,0.00100687,0.00100687,0.00100687
14,717.974,0.07063,0.91549,1,0.17387,0.000951857,0.000951857,0.000951857
15,769.71,0.08606,0.92958,1,0.14325,0.000896846,0.000896846,0.000896846
16,821.339,0.07089,0.94366,1,0.16637,0.000841835,0.000841835,0.000841835
17,872.051,0.05168,0.88732,1,0.18771,0.000786824,0.000786824,0.000786824
18,922.671,0.07511,0.91549,1,0.21055,0.000731813,0.000731813,0.000731813
19,973.174,0.05441,0.95775,1,0.12247,0.000676802,0.000676802,0.000676802
20,1023.49,0.04065,0.92958,1,0.13944,0.000621791,0.000621791,0.000621791
21,1073.83,0.05152,0.95775,1,0.16262,0.00056678,0.00056678,0.00056678
22,1124.17,0.03413,0.88732,1,0.24631,0.000511769,0.000511769,0.000511769
23,1174.51,0.04988,0.94366,1,0.17934,0.000456758,0.000456758,0.000456758
